year,total_forcing,,,,,,,,,,,,,,,,,,,,,
1854,0.329762425,,,,,,,,,,,,,,,,,,,,,
1855,0.329762425,,,,,,,,,,,,,,,,,,,,,
1856,0.329762425,,,,,,,,,,,,,,,,,,,,,
1857,0.329762425,,,,,,,,,,,,,,,,,,,,,
1858,0.329762425,,,,,,,,,,,,,,,,,,,,,
1859,0.329762425,,,,,,,,,,,,,,,,,,,,,
1860,0.329762425,,,,,,,,,,,,,,,,,,,,,
1861,0.329762425,,,,,,,,,,,,,,,,,,,,,
1862,0.329762425,,,,,,,,,,,,,,,,,,,,,
1863,0.329762425,,,,,,,,,,,,,,,,,,,,,
1864,0.329762425,,,,,,,,,,,,,,,,,,,,,
1865,0.329762425,,,,,,,,,,,,,,,,,,,,,
1866,0.329762425,,,,,,,,,,,,,,,,,,,,,
1867,0.329762425,,,,,,,,,,,,,,,,,,,,,
1868,0.329762425,,,,,,,,,,,,,,,,,,,,,
1869,0.329762425,,,,,,,,,,,,,,,,,,,,,
1870,0.329762425,,,,,,,,,,,,,,,,,,,,,
1871,0.329762425,,,,,,,,,,,,,,,,,,,,,
1872,0.329762425,,,,,,,,,,,,,,,,,,,,,
1873,0.329762425,,,,,,,,,,,,,,,,,,,,,
1874,0.329762425,,,,,,,,,,,,,,,,,,,,,
1875,0.329762425,,,,,,,,,,,,,,,,,,,,,
1876,0.281366978,,,,,,,,,,,,,,,,,,,,,
1877,0.281366978,,,,,,,,,,,,,,,,,,,,,
1878,0.281366978,,,,,,,,,,,,,,,,,,,,,
1879,0.281366978,,,,,,,,,,,,,,,,,,,,,
1880,0.281366978,,,,,,,,,,,,,,,,,,,,,
1881,0.281366978,,,,,,,,,,,,,,,,,,,,,
1882,0.281366978,,,,,,,,,,,,,,,,,,,,,
1883,0.281366978,,,,,,,,,,,,,,,,,,,,,
1884,0.281366978,,,,,,,,,,,,,,,,,,,,,
1885,0.281366978,,,,,,,,,,,,,,,,,,,,,
1886,0.281366978,,,,,,,,,,,,,,,,,,,,,
1887,0.281366978,,,,,,,,,,,,,,,,,,,,,
1888,0.281366978,,,,,,,,,,,,,,,,,,,,,
1889,0.349431518,,,,,,,,,,,,,,,,,,,,,
1890,0.349431518,,,,,,,,,,,,,,,,,,,,,
1891,0.349431518,,,,,,,,,,,,,,,,,,,,,
1892,0.349431518,,,,,,,,,,,,,,,,,,,,,
1893,0.349431518,,,,,,,,,,,,,,,,,,,,,
1894,0.349431518,,,,,,,,,,,,,,,,,,,,,
1895,0.349431518,,,,,,,,,,,,,,,,,,,,,
1896,0.349431518,,,,,,,,,,,,,,,,,,,,,
1897,0.349431518,,,,,,,,,,,,,,,,,,,,,
1898,0.349431518,,,,,,,,,,,,,,,,,,,,,
1899,0.349431518,,,,,,,,,,,,,,,,,,,,,
1900,0.349431518,,,,,,,,,,,,,,,,,,,,,
1901,0.349431518,,,,,,,,,,,,,,,,,,,,,
1902,0.349431518,,,,,,,,,,,,,,,,,,,,,
1903,0.349431518,,,,,,,,,,,,,,,,,,,,,
1904,0.349431518,,,,,,,,,,,,,,,,,,,,,
1905,0.349431518,,,,,,,,,,,,,,,,,,,,,
1906,0.349431518,,,,,,,,,,,,,,,,,,,,,
1907,0.349431518,,,,,,,,,,,,,,,,,,,,,
1908,0.349431518,,,,,,,,,,,,,,,,,,,,,
1909,0.349431518,,,,,,,,,,,,,,,,,,,,,
1910,0.349431518,,,,,,,,,,,,,,,,,,,,,
1911,0.349431518,,,,,,,,,,,,,,,,,,,,,
1912,0.349431518,,,,,,,,,,,,,,,,,,,,,
1913,0.349431518,,,,,,,,,,,,,,,,,,,,,
1914,0.349431518,,,,,,,,,,,,,,,,,,,,,
1915,0.349431518,,,,,,,,,,,,,,,,,,,,,
1916,0.421773855,,,,,,,,,,,,,,,,,,,,,
1917,0.421773855,,,,,,,,,,,,,,,,,,,,,
1918,0.421773855,,,,,,,,,,,,,,,,,,,,,
1919,0.421773855,,,,,,,,,,,,,,,,,,,,,
1920,0.421773855,,,,,,,,,,,,,,,,,,,,,
1921,0.421773855,,,,,,,,,,,,,,,,,,,,,
1922,0.421773855,,,,,,,,,,,,,,,,,,,,,
1923,0.421773855,,,,,,,,,,,,,,,,,,,,,
1924,0.421773855,,,,,,,,,,,,,,,,,,,,,
1925,0.421773855,,,,,,,,,,,,,,,,,,,,,
1926,0.421773855,,,,,,,,,,,,,,,,,,,,,
1927,0.421773855,,,,,,,,,,,,,,,,,,,,,
1928,0.421773855,,,,,,,,,,,,,,,,,,,,,
1929,0.421773855,,,,,,,,,,,,,,,,,,,,,
1930,0.421773855,,,,,,,,,,,,,,,,,,,,,
1931,0.421773855,,,,,,,,,,,,,,,,,,,,,
1932,0.421773855,,,,,,,,,,,,,,,,,,,,,
1933,0.421773855,,,,,,,,,,,,,,,,,,,,,
1934,0.421773855,,,,,,,,,,,,,,,,,,,,,
1935,0.421773855,,,,,,,,,,,,,,,,,,,,,
1936,0.421773855,,,,,,,,,,,,,,,,,,,,,
1937,0.421773855,,,,,,,,,,,,,,,,,,,,,
1938,0.421773855,,,,,,,,,,,,,,,,,,,,,
1939,0.421773855,,,,,,,,,,,,,,,,,,,,,
1940,0.421773855,,,,,,,,,,,,,,,,,,,,,
1941,0.421773855,,,,,,,,,,,,,,,,,,,,,
1942,0.421773855,,,,,,,,,,,,,,,,,,,,,
1943,0.421773855,,,,,,,,,,,,,,,,,,,,,
1944,0.421773855,,,,,,,,,,,,,,,,,,,,,
1945,0.421773855,,,,,,,,,,,,,,,,,,,,,
1946,0.421773855,,,,,,,,,,,,,,,,,,,,,
1947,0.421773855,,,,,,,,,,,,,,,,,,,,,
1948,0.421773855,,,,,,,,,,,,,,,,,,,,,
1949,0.421773855,,,,,,,,,,,,,,,,,,,,,
1950,0.585126518,,,,,,,,,,,,,,,,,,,,,
1951,0.585126518,,,,,,,,,,,,,,,,,,,,,
1952,0.585126518,,,,,,,,,,,,,,,,,,,,,
1953,0.585126518,,,,,,,,,,,,,,,,,,,,,
1954,0.585126518,,,,,,,,,,,,,,,,,,,,,
1955,0.585126518,,,,,,,,,,,,,,,,,,,,,
1956,0.585126518,,,,,,,,,,,,,,,,,,,,,
1957,0.585126518,,,,,,,,,,,,,,,,,,,,,
1958,0.585126518,,,,,,,,,,,,,,,,,,,,,
1959,0.585126518,,,,,,,,,,,,,,,,,,,,,
1960,1,,,,,,,,,,,,,,,,,,,,,
1961,1,,,,,,,,,,,,,,,,,,,,,
1962,1,,,,,,,,,,,,,,,,,,,,,
1963,1,,,,,,,,,,,,,,,,,,,,,
1964,1,,,,,,,,,,,,,,,,,,,,,
1965,1,,,,,,,,,,,,,,,,,,,,,
1966,1,,,,,,,,,,,,,,,,,,,,,
1967,1,,,,,,,,,,,,,,,,,,,,,
